GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PoBot,com.tripco.t23.planner,Distance,26,169,0,6,9,39,8,11,8,8
PoBot,com.tripco.t23.planner,Poem,125,0,4,0,15,0,5,0,3,0
PoBot,com.tripco.t23.planner,Place,22,15,0,0,7,6,2,1,2,1
PoBot,com.tripco.t23.planner,Calculate,57,0,2,0,16,0,3,0,2,0
PoBot,com.tripco.t23.planner,Bot,466,0,42,0,75,0,31,0,10,0
PoBot,com.tripco.t23.planner,Write,125,0,4,0,24,0,4,0,2,0
PoBot,com.tripco.t23.planner,Tester,45,0,2,0,9,0,3,0,2,0
PoBot,com.tripco.t23.planner,Option,0,3,0,0,0,1,0,1,0,1
PoBot,com.tripco.t23.planner,Trip,64,615,7,31,13,85,7,24,0,12
PoBot,com.tripco.t23.planner,Library,161,0,4,0,36,0,6,0,4,0
PoBot,com.tripco.t23.planner,Plan,59,0,2,0,16,0,3,0,2,0
PoBot,com.tripco.t23.server,HTTP,115,0,0,0,23,0,2,0,2,0
PoBot,com.tripco.t23.server,Greeting,14,0,0,0,2,0,2,0,2,0
PoBot,com.tripco.t23.server,MicroServer,79,0,0,0,21,0,4,0,4,0
PoBot,com.tripco.t23.server,MyServer,55,0,6,0,12,0,7,0,4,0
